Tweets,Hashtags,Retweets,word_count,Compound Score,Sentiment
"RT @mattdizwhitlock: 🔥🔥🔥

""Ossoff is a baby-faced trust fund socialist who will be a Schumer puppet. Raphael Warnock is a Jeremiah Wright l…",[],2515,23,-0.4404,Negative
"RT @Jim_Jordan: Durham confirms what we already knew. 

James Comey’s FBI was out to get President Trump.",[],11274,17,0.0,Neutral
RT @jacobkschneider: That's our President @realDonaldTrump 🇺🇸 https://t.co/7s6HywWFRt,[],2842,8,0.0,Neutral
RT @TeamTrump: President @realDonaldTrump: We say MERRY CHRISTMAS proudly again! https://t.co/iwoSCMO5ai,[],3704,11,0.8452,Positive
RT @TeamTrump: President @realDonaldTrump: Vaccines are on their way starting next week! https://t.co/4qgDZuLzFw,[],2266,13,0.0,Neutral
RT @TeamTrump: President @realDonaldTrump: We are gathered here to ensure that @Perduesenate and @KLoeffler win https://t.co/FxOKy4kJJH,[],2578,16,0.7506,Positive
RT @TeamTrump: President @realDonaldTrump: We must pass voter ID requirements to protect our elections https://t.co/rHX9CQm1oK,[],3724,15,0.3818,Positive
RT @TeamTrump: President @realDonaldTrump: “If you don’t vote. The socialists and the communists win.” https://t.co/VLhaX0iKKa,[],3217,15,0.0,Neutral
"RT @TeamTrump: President @realDonaldTrump in #Georgia: We have to #HoldTheLine, register to vote before December 7th! https://t.co/usewOJsL…","['Georgia', 'HoldTheLine']",2423,17,0.0,Neutral
"RT @TeamTrump: President @realDonaldTrump: On January 5th, you must defeat Ossoff and Warnock and send @PerdueSenate and @KLoeffler back to…",[],2239,20,-0.4588,Negative
RT @TeamTrump: President @realDonaldTrump: Raphael Warnock is a dangerous extremist who is radically opposed to Georgia values https://t.co…,[],2231,18,-0.1027,Negative
RT @TeamTrump: President @realDonaldTrump: Jon Ossoff is a radical left wing zealot https://t.co/YonLCLQNq4,[],2072,13,-0.4404,Negative
RT @TeamTrump: President @realDonaldTrump: Senator @KLoeffler “has been an exceptional champion for Georgia workers and families” https://t…,[],2092,17,0.6361,Positive
And getting a total pass from the media! https://t.co/LyQBuhJq46,[],5599,9,0.0,Neutral
"RT @TeamTrump: President @realDonaldTrump: Radical Democrats will destroy America forever by abolishing filibuster, opening borders, confis…",[],2990,16,-0.5423,Negative
"RT @mikehahn_: This is a movement. 

It's not going anywhere. https://t.co/pqIgz1S5KS",[],4139,11,0.0,Neutral
"RT @TeamTrump: We will not bend. 

We will not break. 

We will not yield. 

We will never give in.

We will never give up.

We will never…",[],12094,27,0.0,Neutral
Thank you Matt! https://t.co/yPqsdzytu4,[],3591,4,0.4199,Positive
"RT @kayleighmcenany: President @realDonaldTrump &amp; First Lady @MELANIATRUMP take the stage in Valdosta, Georgia‼️ https://t.co/6Laq5cPvQ1",[],10631,15,0.0,Neutral
RT @BuckForColorado: Thank you @RealDonaldTrump for making the case in Georgia! Keeping the 2 Senate seats in #GOP control means we can sto…,['GOP'],2211,23,0.4199,Positive
"RT @TeamTrump: LIVE: President Trump in Valdosta, GA #Valdosta #Georgia https://t.co/P1OyvbQeUg","['Valdosta', 'Georgia']",6672,11,0.0,Neutral
"RT @OANN: How compromised was the 2020 election? Dominion Voting Systems has had a history of problems. Stolen laptops, “switched” votes, C…",[],3487,22,-0.7096,Negative
RT @gatewaypundit: BOOM: President Trump Is On Target In Wisconsin - Ballots Identified in Pristine Condition Similar to Fraudulent Ballots…,[],6631,20,-0.4939,Negative
RT @VicToensing: See Prof. John Eastman 12/3/20 testimony b/4 Georgia legislature re  US Constitutional authority of STATE legislatures to…,[],3768,19,0.0772,Positive
Melissa is great! https://t.co/45q70Ps7oK,[],7829,4,0.6588,Positive
Great job Dan. People are watching! https://t.co/5SiKOq3HoQ,[],3787,7,0.6588,Positive
RT @christina_bobb: Biden cheated,[],5298,4,-0.5106,Negative
RT @MarkFinchem: I believe that @dougducey signed a fraudulent document. And he knew it! I’m requesting we recall Arizona’s certification.…,[],19079,20,-0.5411,Negative
"RT @RudyGiuliani: The “Bank Heist” tape changes the result in Georgia. 

The State Legislature has no choice but to assume its powers under…",[],26238,23,-0.1531,Negative
"RT @BernardKerik: Democratic Party and @JoeBiden engaged in criminal conduct to steal the election, but should @realDonaldTrump lose, it wi…",[],11578,20,-0.631,Negative
RT @BernardKerik: These are the four cowardice Pennsylvania legislators that intend to allow the Democrat machine to #StealtheVote! #Coward…,['StealtheVote'],6040,19,0.2942,Positive
Thank you! https://t.co/X7gFdH8fqW,[],3648,3,0.4199,Positive
Fraudulent result! https://t.co/vrp8SidOc8,[],4061,3,-0.5411,Negative
RT @christina_bobb: Rusty Bowers is intentionally misleading the people of Arizona to avoid the inevitable.  @realDonaldTrump won his state…,[],2586,19,-0.0516,Negative
RT @christina_bobb: #truth,['truth'],2039,3,0.3182,Positive
Thank you Christina! https://t.co/0ADausqhat,[],4510,4,0.4199,Positive
"RT @christina_bobb: This election struggle is because of leaders, elected by We the People, who have now rigged elections to rob Americans…",[],4243,22,-0.8126,Negative
"***Live Updates*** Trump Holds Georgia Rally for Sens. Loeffler, Perdue https://t.co/Z6XZYeCO16 via @BreitbartNews.… https://t.co/6EpkR1AAne",[],4379,14,0.0,Neutral
https://t.co/t1nwOScuF6,[],14960,1,0.0,Neutral
The answer to the Democrat voter fraud is not to stay at home - that’s what Pelosi and Schumer want you to do. If y… https://t.co/sRR52AznNS,[],28517,26,-0.5423,Negative
"Register to vote before Monday 12/7. Register now on https://t.co/bFJXEeKHLV, then request your absentee ballot bef… https://t.co/FJEXznDIhK",[],16508,17,-0.2732,Negative
https://t.co/VtlO88czRa,[],11808,1,0.0,Neutral
https://t.co/7NhZCVBncg,[],17181,1,0.0,Neutral
https://t.co/VWWlkmzjiL,[],8995,1,0.0,Neutral
https://t.co/DJSZ8ebxub,[],8884,1,0.0,Neutral
https://t.co/PSHXaWnrox,[],9165,1,0.0,Neutral
https://t.co/pg1ClbTDhv,[],16248,1,0.0,Neutral
https://t.co/tKi5SS3RI9,[],21851,1,0.0,Neutral
"...We received more LEGAL votes by far. All I can do is run, campaign, and be a good (great!) President – it is 100… https://t.co/pAMXZYAHCP",[],21013,25,0.8695,Positive
"Between Governor @DougDucey of Arizona and Governor @BrianKempGA of Georgia, the Democrat Party could not be happie… https://t.co/xgUxxSsK27",[],31942,18,0.4019,Positive
"Leaving for Georgia now.
 See you soon!",[],25925,7,0.0,Neutral
But you never got the signature verification! Your people are refusing to do what you ask. What are they hiding? At… https://t.co/8iptFntcR2,[],34668,22,-0.7678,Negative
"25, wow! I am surprised there are so many. We have just begun to fight. Please send me a list of the 25 RINOS. I re… https://t.co/rTlToqblE4",[],34027,27,0.69,Positive
I will easily &amp; quickly win Georgia if Governor @BrianKempGA or the Secretary of State permit a simple signature ve… https://t.co/EqGqoagFka,[],50375,21,0.7351,Positive
"See you tonight at 7PM, Georgia! https://t.co/gMYtLGGqzI",[],30934,7,0.0,Neutral
RT @realDonaldTrump: https://t.co/AMIT0WetT1,[],40040,3,0.0,Neutral
RT @realDonaldTrump: https://t.co/vdaaFDn2Xi,[],34623,3,0.0,Neutral
RT @RobertCahaly: Our @trafalgar_group #GASen #Runoff #Polls also shed some light on Georgia voters opinions of whether the #Presidential e…,"['GASen', 'Runoff', 'Polls', 'Presidential']",10137,20,0.0,Neutral
https://t.co/ouGhtnhwGG,[],19832,1,0.0,Neutral
https://t.co/cYj73a5fiR,[],23103,1,0.0,Neutral
https://t.co/yV62397bgs,[],22692,1,0.0,Neutral
https://t.co/AMIT0WetT1,[],40040,1,0.0,Neutral
RT @realDonaldTrump: Watch @SeanHannity tonight at 9:00 P.M. Eastern — story on Voter Fraud!,[],20988,14,-0.6239,Negative
https://t.co/VTNYa5vaG7,[],23496,1,0.0,Neutral
"See you tomorrow night at 7PM, Valdosta, Georgia! https://t.co/Or9WioLiVk",[],25605,9,0.0,Neutral
https://t.co/vdaaFDn2Xi,[],34623,1,0.0,Neutral
"Thank you to Senate President Karen Fann and House Speaker Russell Bowers – and all, for what you are doing in Ariz… https://t.co/HA1ceurGyk",[],23673,23,0.3612,Positive
Watch @SeanHannity tonight at 9:00 P.M. Eastern — story on Voter Fraud!,[],20988,12,-0.6239,Negative
STOCK MARKET REACHES NEW ALL-TIME HIGH!,[],35455,6,0.126,Positive
RT @HawleyMO: This case raises major questions about the legality of Pennsylvania’s mail-in balloting changes. The Supreme Court should hea…,[],18800,20,0.5574,Positive
RT @HawleyMO: The President is right,[],12995,6,0.0,Neutral
RT @HawleyMO: The NDAA does NOT contain any reform to Section 230 but DOES contain Elizabeth Warren’s social engineering amendment to unila…,[],12128,22,0.0,Neutral
RT @HawleyMO: The NDAA should not be hijacked for the Democrats’ woke leftist agenda,[],7303,14,0.0,Neutral
"RT @LindseyGrahamSC: I support President @realDonaldTrump's insistence Section 230 repeal be part of the defense authorization bill.  
 
Bi…",[],14362,18,0.4939,Positive
"RT @LindseyGrahamSC: @realDonaldTrump It is our best chance to change course while we still can.  

I take a back seat to no one when it co…",[],8123,26,0.6124,Positive
"RT @LindseyGrahamSC: @realDonaldTrump We have a Defense Department to protect our liberty, but our liberty is at risk if we don’t change Se…",[],8230,23,0.7351,Positive
The only thing more RIGGED than the 2020 Presidential Election is the FAKE NEWS SUPPRESSED MEDIA. No matter how big… https://t.co/bzyMaNsahF,[],58443,21,-0.8143,Negative
"RT @realDonaldTrump: The best way to insure a @KLoeffler and @sendavidperdue VICTORY is to allow signature checks in the Presidential race,…",[],40219,21,0.7269,Positive
"RT @realDonaldTrump: Very sadly for our Nation, it looks like Senator @JimInhofe will not be putting the Section 230 termination clause int…",[],44016,22,-0.1513,Negative
MAKE AMERICA GREAT AGAIN!,[],54615,4,0.6588,Positive
RIGGED ELECTION!,[],58567,2,-0.4199,Negative
GET TOUGH REPUBLICANS!,[],46630,3,-0.2003,Negative
"A provision is in the NDAA for the renaming, or even desecration, of National Monuments in National Parks. This is… https://t.co/Rzi2ZzRWez",[],25515,21,0.0,Neutral
"RT @julie_kelly2: LOL keep the Senate red! “The bipartisan legislation not only omits language about Section 230, but also includes a provi…",[],10288,22,0.3733,Positive
Whistleblowers reveal that the USPS is responsible for tampering with hundreds of thousands of ballots. @OANN  This… https://t.co/mKESJ36M2o,[],42644,18,0.3182,Positive
Big Rally Saturday Night in Georgia!!!,[],38226,6,0.0,Neutral
A great person who did a fantastic job. Thank you Alyssa! https://t.co/TEWiYEGnJO,[],12804,12,0.8883,Positive
@JimInhofe What good is having a very expensive National Defense Authorization Act if Big Tech can run circles arou… https://t.co/yw7m8wYS2F,[],4766,20,0.5667,Positive
"But doesn’t get rid of Big Tech’s windfall, Section 230, a grave threat to National Security. I will VETO! https://t.co/QI7BfNc7hb",[],23191,20,-0.7345,Negative
"Very sadly for our Nation, it looks like Senator @JimInhofe will not be putting the Section 230 termination clause… https://t.co/EJf7qnKvS9",[],44016,20,-0.1513,Negative
The best way to insure a @KLoeffler and @sendavidperdue VICTORY is to allow signature checks in the Presidential ra… https://t.co/GvLaayljLj,[],40219,20,0.7269,Positive
