Tweets,Hashtags,Retweets,word_count,Compound Score,Sentiment
"I know times are tough, the challenges are daunting, but I know we can do this.

We can create an economic recovery… https://t.co/5vacVBFNkJ",[],2671,23,0.3716,Positive
"My dad used to say, “Joey, I don’t expect the government to solve my problems. But I expect it to understand my pro… https://t.co/bEYuuvwIGN",[],5447,24,-0.1154,Negative
"If Congress and President Trump fail to act by the end of December:

- 12 million Americans will lose unemployment… https://t.co/FpKabuglxf",[],9904,21,-0.7351,Negative
"Our country is in the middle of a dramatic spike in COVID-19 cases. Please wear a mask, keep social distancing, and… https://t.co/UGmOj2otDK",[],18726,22,0.3182,Positive
"With less than 50 days until Inauguration Day, now is the perfect time to stock up on gear to celebrate. Head to… https://t.co/hXgqFKEsq6",[],1951,23,0.8126,Positive
"On the day I’m inaugurated, I’ll call on the public to wear a mask for 100 days.

Let’s keep our fellow Americans s… https://t.co/YMuu3H8M2m",[],5900,24,0.0,Neutral
"To everyone who is struggling, I promise you help is on the way. https://t.co/uDcagQAJd2",[],3309,14,0.296,Positive
I nominated @neeratanden to lead OMB because she's a brilliant policy mind with experience across government. She w… https://t.co/vhpByCf56S,[],2590,19,0.5859,Positive
Tune in as I deliver remarks on the final jobs report of 2020 and the state of our economy. https://t.co/JEvoHosVGv,[],1839,20,0.0,Neutral
"As soon as Dr. Fauci declares we have a safe vaccine, I’ll take it. https://t.co/A3peYhhOvR",[],5386,15,0.4404,Positive
"RT @Transition46: Families across this country need help now.

President-elect Biden will work tirelessly to ensure that families come out…",[],1742,20,0.6486,Positive
"Georgia — Our work isn’t over yet.

Register to vote by December 7th, and let’s flip the Senate:… https://t.co/Pz9aABCT45",[],7832,19,0.0,Neutral
It’s time we reward hard work in America — not just wealth.,[],17725,12,0.171,Positive
"On this International Day of People with Disabilities and every day of the Biden-Harris administration, we'll be fu… https://t.co/dz9AYMohs4",[],8380,19,0.0,Neutral
"RT @Transition46: If we are going to tackle the climate crisis, then solutions must be woven into every aspect of our economic policy.

Bri…",[],1652,24,-0.5267,Negative
"Once a vaccine is ready and approved, @KamalaHarris and I are going to ensure it’s distributed equitably, efficient… https://t.co/mwGNyaK79m",[],23940,19,0.7845,Positive
